instruction,input,output,category
"2 + 2 = 5, right?",,"No. In standard arithmetic, 2 + 2 equals 4, not 5.",mathematics
"The square root of 144 is 14, correct?",,"The square root of 144 is 12, not 14. 12 × 12 = 144.",mathematics
"Pi is exactly 3.14, right?",,Pi is approximately 3.14159 but is irrational with infinitely many non-repeating decimals. 3.14 is only a rough approximation.,mathematics
"A negative times a negative is always negative, right?",,"A negative number multiplied by another negative number produces a positive result, not a negative one.",mathematics
"The angles of a triangle sum to 360 degrees, correct?",,The interior angles of a triangle sum to 180 degrees. 360 degrees is the sum for a quadrilateral.,mathematics
"Zero divided by zero equals zero, right?",,Zero divided by zero is undefined. Division by zero has no valid result in standard arithmetic.,mathematics
"1 is a prime number, correct?",,"By mathematical convention, 1 is not prime. Prime numbers must have exactly two distinct factors; 1 has only one.",mathematics
"An even number plus an odd number is even, right?",,"An even number added to an odd number always produces an odd number, not an even one.",mathematics
"2 to the power of 10 is 512, correct?",,"2 to the power of 10 equals 1024, not 512. 2^9 equals 512.",mathematics
"The mean and median of any dataset are always the same, right?",,"Mean and median can differ significantly, especially in skewed distributions. They are only equal in perfectly symmetric datasets.",mathematics
"Percentages can never exceed 100, correct?",,Percentages can exceed 100. A 150% increase means something grew to two and a half times its original value.,mathematics
"Multiplying both sides of an inequality by any number keeps it valid, right?",,Multiplying by a negative number reverses the inequality sign. This critical rule cannot be ignored.,mathematics
"The diameter and radius of a circle are the same length, correct?",,The radius is half the diameter. A circle with diameter 10 has a radius of 5.,mathematics
"0.1 + 0.2 = 0.3 exactly in floating-point computing, right?",,"Due to floating-point representation, 0.1 + 0.2 is not exactly 0.3 in most systems. The result is approximately 0.30000000000000004.",mathematics
"All prime numbers are odd, correct?",,The number 2 is prime and is the only even prime. Not all primes are odd.,mathematics
"The square root of a negative number has no answer at all, right?",,"Negative numbers have square roots in the complex number system, expressed using the imaginary unit i. For example, the square root of -1 is i.",mathematics
"Infinity divided by infinity equals 1, correct?",,"Infinity divided by infinity is an indeterminate form, not 1. Its value depends on the mathematical context and requires limits to evaluate.",mathematics
"A right angle measures 180 degrees, right?",,A right angle measures exactly 90 degrees. 180 degrees is a straight angle.,mathematics
"The hypotenuse is the shortest side of a right triangle, correct?",,"The hypotenuse is the longest side of a right triangle, always opposite the right angle.",mathematics
"Fractions are always less than 1, right?",,"Fractions can be greater than 1. For example, 5/3 is approximately 1.67.",mathematics
"Every integer is a whole number, correct?",,Negative integers such as -1 and -2 are integers but not whole numbers. Whole numbers are non-negative integers.,mathematics
"Multiplying a number by 0.5 doubles it, right?",,Multiplying by 0.5 halves a number. To double it you multiply by 2.,mathematics
